날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2021-08-25,418.92,422.39,416.38,419.32,47291714,295171907692,76752902056960
2021-08-26,419.57,422.77,416.66,417.56,35844668,300211218199,76431002847875
2021-08-27,417.22,420.96,415.03,419.72,29346103,267766365692,76823063428960
2021-08-30,422.88,424.03,418.76,420.45,53463624,287037448835,76955106408285
2021-08-31,419.91,424.62,415.71,423.68,45391474,364119140351,77544402928835
2021-09-01,422.27,425.24,420.64,423.93,55717807,290123471486,77588754200615
2021-09-02,423.64,424.31,421.21,423.57,47582793,343418057214,77522531203225
2021-09-03,423.6,426.26,422.66,423.94,40857333,266270305956,77589418113325
2021-09-06,423.63,426.0,421.5,425.74,128276361,462175434827,77916008777820
2021-09-07,425.92,426.48,423.03,426.27,62123569,370043731600,78011398623870
2021-09-08,425.12,427.85,423.85,424.83,103100114,549617533441,77746621664660
2021-09-09,423.02,424.33,417.75,417.75,79642118,535058214814,76451296174615
2021-09-10,419.11,421.58,415.41,421.58,110768172,465358592041,77151548880640
2021-09-13,420.68,424.3,418.92,422.68,64485753,438876259567,77348290639765
2021-09-14,424.31,429.32,424.1,427.06,60656074,711077960390,78151658480165
2021-09-15,425.25,428.22,424.58,425.35,66161523,315229325419,77839733293775
2021-09-16,427.3,428.21,424.26,424.6,42023468,491717887386,77697479240040
2021-09-17,424.04,426.36,422.55,425.11,59705424,375959265027,77790965810035
2021-09-23,420.71,423.23,417.88,422.8,41364112,326637118564,77364556993945
2021-09-24,422.93,424.52,417.99,419.46,101739488,494816244404,76754156935850
2021-09-27,418.34,421.95,417.32,418.95,115419710,424192791071,76778504309100
2021-09-28,419.83,420.83,414.03,414.82,140264743,902436730549,76022345521800
2021-09-29,411.48,411.48,404.85,408.5,106932130,687854972692,74861165759335
2021-09-30,407.53,411.6,407.17,409.67,80024354,535583617600,75076010708495
2021-10-01,406.7,408.96,400.37,401.19,86600872,476726373064,73526967568605
2021-10-05,400.63,406.92,396.64,403.96,66571700,598632436993,74028980984870
2021-10-06,407.21,409.35,396.49,396.95,118275642,752490074573,72743530915905
2021-10-07,398.8,402.74,398.6,401.98,57233263,487792258619,73666829429285
2021-10-08,402.6,402.6,397.88,400.11,46041642,380059100834,73324316286650
2021-10-12,399.85,400.61,391.42,393.29,51379726,453145108892,72074379808820
2021-10-13,393.62,398.69,393.26,397.82,72631849,652358844019,74014998192465
2021-10-14,400.56,403.08,399.22,401.08,44752583,449087450993,74619428798310
2021-10-15,403.75,406.99,402.53,406.36,57501718,430849829258,75603817723220
2021-10-18,406.86,406.86,401.7,403.48,40129095,333917459602,75071272878425
2021-10-19,405.0,406.63,400.8,402.1,42894754,365899414003,74812868012050
2021-10-20,403.44,403.55,398.99,400.29,49442481,343699940350,74474293659235
2021-10-21,400.27,403.6,399.74,400.5,137325788,365952642721,74515151757995
2021-10-22,400.83,403.09,398.96,401.51,45253893,303463470919,74702014101305
2021-10-25,401.55,407.1,398.87,406.3,45962851,350014696579,75590868183060
2021-10-26,408.13,408.82,405.68,407.0,41171552,336449307893,75723914207015
2021-10-27,406.66,407.14,401.61,403.01,51669508,335657167883,74985381113780
2021-10-28,401.45,402.01,395.23,395.23,30829667,332377174760,73538457469725
2021-10-29,396.0,396.79,389.56,390.62,26001132,290304896367,72681129571830
2021-11-01,391.17,392.75,388.68,389.53,33092370,497034633191,72479091980505
2021-11-02,389.76,396.66,389.76,393.1,47824200,374278045754,73141782406495
2021-11-03,393.58,394.82,389.01,390.79,28672360,248291830693,72711898407010
2021-11-04,392.78,396.14,388.74,389.27,37947400,307608582165,72429988597180
2021-11-05,391.46,392.09,382.43,385.0,47655825,360351368849,71635143526345
2021-11-08,386.39,391.0,383.26,389.24,49274243,359775262024,72426571776105
2021-11-09,388.23,392.27,385.71,388.15,102186583,282182557346,72223046598675
2021-11-10,386.88,388.05,379.64,380.2,75886360,305883573794,70744213954750
2021-11-11,377.69,377.69,373.39,375.12,51121525,373461571896,69798871244320
2021-11-12,376.25,382.36,375.49,381.49,60092813,359410790611,70979952095075
2021-11-15,383.46,385.42,380.42,385.31,45078808,249611514439,71694242095685
2021-11-16,383.68,386.28,382.03,383.47,52705780,292589958656,71351204497150
2021-11-17,384.22,384.22,376.77,377.28,51934621,292685042842,70199404245465
2021-11-18,376.36,376.71,373.15,373.27,28303761,244291709254,69452780298345
2021-11-19,373.04,378.07,372.32,376.75,52990410,353290700689,70097272658445
2021-11-22,377.17,380.37,376.05,380.07,32792420,264766662167,70722095303770
2021-11-23,380.32,383.77,379.23,383.21,41182686,471310712825,71328876672465
2021-11-24,384.11,385.62,379.68,380.91,115260286,777155057412,70899027172450
2021-11-25,380.27,380.27,374.63,375.87,69196713,510007208000,69961439602175
2021-11-26,374.87,375.29,366.55,367.31,65086997,467651450797,68394162964780
2021-11-29,361.45,362.78,356.95,357.12,300517578,473554292233,66495501262855
2021-11-30,359.62,361.01,346.05,348.09,90892176,858793257711,64814589729460
2021-12-01,348.47,355.24,345.96,354.84,52330496,411623094523,66072396567000
2021-12-02,350.73,365.73,349.58,365.12,43028053,349730744673,67987749103545
2021-12-03,364.06,370.0,363.52,368.43,51354060,340877390459,68603640314385
2021-12-06,366.66,371.74,362.53,370.03,42898931,323303978348,68900788859410
2021-12-07,371.09,374.6,370.19,373.95,33441859,403321090254,69629143886440
2021-12-08,375.49,379.26,373.57,374.4,45592341,353982790276,69714807610915
2021-12-09,375.42,379.31,374.73,379.31,39165557,382921067388,70628415773420
2021-12-10,377.66,383.2,376.41,382.74,70194269,445181837575,71264515630190
2021-12-13,383.63,385.62,378.25,378.5,44271480,319700102965,70476909590490
2021-12-14,376.26,379.17,374.64,377.22,29645607,224183946055,70239145643405
2021-12-15,376.37,379.12,374.9,376.82,20329293,181494055958,70162602375290
2021-12-16,378.93,379.42,374.49,377.47,20630446,196164349901,70284340019660
2021-12-17,375.33,380.57,374.91,380.24,28377973,293520013057,70807834480225
2021-12-20,377.75,377.89,371.72,372.07,33208515,255192190423,69287047145015
2021-12-21,373.25,374.59,370.11,373.7,30646661,263104467944,69595741757205
2021-12-22,375.6,377.77,373.36,375.13,32434119,249132161631,69859048622790
2021-12-23,376.06,377.55,374.49,376.51,30120719,225476214103,70115051661915
2021-12-24,377.11,378.58,376.19,377.42,25081832,215382773331,70286924555420
2021-12-27,378.28,379.08,376.7,377.28,34104037,200496821667,70262265109600
2021-12-28,377.55,380.26,376.02,380.23,53867442,349224269871,70808804634625
2021-12-29,376.82,378.81,375.44,376.92,37445563,262859805810,70176652261490
2021-12-30,377.98,382.07,377.04,379.42,31213316,283231326024,70646310975445
